,StationID,StationName,Latitude,Longitude,Suburb,Road,Neighborhood
595,3507.0,Park Ave & E 124 St,40.8046,-73.9397,,Park Avenue,East Harlem
596,3508.0,St Nicholas Ave & Manhattan Ave,40.8097,-73.9531,,Saint Nicholas Avenue,
597,3509.0,Lenox Ave & W 115 St,40.8012,-73.9501,,Malcolm X Boulevard,
598,3510.0,Adam Clayton Powell Blvd & W 123 St,40.8078,-73.9494,Manhattan,Adam Clayton Powell Jr. Boulevard,
599,3511.0,Adam Clayton Powell Blvd & W 115 St,40.8025,-73.9532,,Adam Clayton Powell Jr. Boulevard,
600,3512.0,27 Ave & 4 St,40.7747,-73.9338,Queens,27th Avenue,Astoria
601,3513.0,21 St & Hoyt Ave S,40.7746,-73.9237,Queens,21st Street,Astoria
602,3514.0,Astoria Park S & Shore Blvd,40.7767,-73.9276,Queens,Astoria Park South,Astoria
603,3515.0,24 Ave & 26 St,40.7746,-73.9185,Queens,24th Avenue,
604,3516.0,31 St & Astoria Blvd,40.7699,-73.9184,Queens,Hoyt Avenue North,
605,3517.0,31 St & Hoyt Ave N,40.7712,-73.917,Queens,31st Street,Steinway
606,3518.0,Lenox Ave & W 126 St,40.8084,-73.9452,Manhattan,Malcolm X Boulevard,
607,3520.0,Adam Clayton Powell Blvd & W 118 St,40.8044,-73.9515,,Adam Clayton Powell Jr. Boulevard,
608,3521.0,Lenox Ave & W 111 St,40.7988,-73.9523,,Malcolm X Boulevard,
609,3522.0,37 St & 24 Ave,40.7701,-73.9121,Queens,37th Street,Steinway
610,3523.0,24 Ave & 29 St,40.7729,-73.9161,Queens,24th Avenue,
611,3524.0,19 St & 24 Ave,40.7775,-73.9225,Queens,19th Street,Astoria
612,3525.0,23 Ave & 27 St,40.7762,-73.9153,Queens,23rd Avenue,Steinway
613,3526.0,31 St & 23 Ave,40.7748,-73.9126,Queens,31st Street,Steinway
614,3527.0,5 Ave & E 126 St,40.807,-73.9417,,East 126th Street,East Harlem
615,3528.0,Steinway St & 23 Ave,40.7714,-73.9077,Queens,Steinway Street,Steinway
616,3529.0,Lenox Ave & W 130 St,40.8108,-73.9431,,Malcolm X Boulevard,
617,3530.0,Crescent St & Ditmars Blvd,40.7787,-73.9146,Queens,Crescent Street,Steinway
618,3531.0,Frederick Douglass Blvd & W 129 St,40.8126,-73.9492,,West 129th Street,
619,3532.0,Ditmars Blvd & 19 St,40.7814,-73.9183,Queens,Ditmars Boulevard,
620,3533.0,St. Nicholas Ave & W 126 St,40.8114,-73.9519,,West 126th Street,
621,3534.0,Frederick Douglass Blvd & W 117 St,40.8052,-73.9547,,West 117th Street,
622,3535.0,Mt Morris Park W & W 120 St,40.804,-73.9459,,Mt Morris Park West,
623,3536.0,W 116 St & Broadway,40.8082,-73.9641,Manhattan,West 116th Street,Morningside Heights
624,3537.0,Carlton Ave & Dean St,40.681,-73.971,Brooklyn,Carlton Avenue,
625,3538.0,W 110 St & Amsterdam Ave,40.8027,-73.963,Manhattan,Cathedral Parkway,Morningside Heights
626,3539.0,W 116 St & Amsterdam Ave,40.8068,-73.9607,Manhattan,West 120th Street,Morningside Heights
627,3540.0,Morningside Ave & W 123 St,40.81,-73.9552,Manhattan,Morningside Avenue,Morningside Heights
628,3541.0,Amsterdam Ave & W 125 St,40.8134,-73.9565,Manhattan,West 125th Street,Manhattanville
629,3542.0,Amsterdam Ave & W 119 St,40.8086,-73.9596,Manhattan,Amsterdam Avenue,Morningside Heights
630,3543.0,Morningside Dr & Amsterdam Ave,40.8103,-73.9574,Manhattan,Morningside Drive,Morningside Heights
631,3544.0,Underhill Ave & Pacific St,40.6805,-73.9647,Brooklyn,Underhill Avenue,
632,3545.0,Broadway & W 122 St,40.8121,-73.9613,Manhattan,Broadway,Morningside Heights
633,3546.0,Pacific St & Classon Ave,40.6792,-73.9588,Brooklyn,Atlantic Avenue,
634,3547.0,Broadway & Moylan Pl,40.8143,-73.959,Manhattan,Broadway,Manhattanville
